,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,diff_lines_nloc,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC,category,mann_kendall
55,C#,PowerShell,src/Microsoft.PowerShell.Commands.Utility/commands/utility/New-Object.cs,NewObjectCommand::BeginProcessing(),37,2020-08-11 14:01:47-07:00,164,0.4130982367758185,131.0,326.0,14,428,38,390,14.440881925375544,7,1583,0.008843967150979154,0.2053838484546361,22095,1282,8300,2006,35,36,37,37,processing,increasing
56,C#,PowerShell,src/System.Management.Automation/engine/CommandCompletion/CompletionAnalysis.cs,"CompletionAnalysis::GetResultForEnumPropertyValueOfDSCResource(CompletionContextcompletionContext,stringstringToComplete,refintreplacementIndex,refintreplacementLength,outboolshouldContinue)",36,2020-08-11 14:01:47-07:00,147,0.0891990291262136,1302.0,1467.0,10,178,13,165,1.258503401360544,8,1583,0.006317119393556538,0.2053838484546361,22095,1282,8300,2006,36,36,36,36,accessing,no trend
57,C#,PowerShell,src/Microsoft.PowerShell.Commands.Management/commands/management/Service.cs,SetServiceCommand::ProcessRecord(),35,2020-08-11 14:01:47-07:00,257,0.12666338097585014,1679.0,1974.0,22,606,311,295,2.5575910994107884,13,1402,0.015691868758915834,0.2053838484546361,22095,1282,8300,2006,33,34,34,35,processing,increasing
58,C#,PowerShell,src/Microsoft.PowerShell.Commands.Management/commands/management/Eventlog.cs,GetEventLogCommand::FiltersMatch(EventLogEntryentry),35,2020-08-11 14:01:47-07:00,114,0.1107871720116618,463.0,589.0,4,135,9,126,1.4473684210526316,4,999,0.004004004004004004,0.2053838484546361,22095,1282,8300,2006,35,35,35,35,collections,no trend
59,C#,ILSpy,ICSharpCode.Decompiler/CSharp/Transforms/ReplaceMethodCallsWithOperators.cs,ReplaceMethodCallsWithOperators::ProcessInvocationExpression(InvocationExpressioninvocationExpression),34,2020-08-10 21:34:35+02:00,99,0.3183279742765273,53.0,187.0,18,222,88,134,5.870600624813763,3,960,0.01875,0.7738704177323104,11047,1103,6159,4692,36,37,27,34,processing,decreasing
60,C#,orleans,src/Orleans.CodeGenerator/CodeGenerator.cs,"CodeGenerator::ProcessSerializableType(AggregatedModelmodel,INamedTypeSymboltype)",34,2020-08-11 12:40:07-07:00,129,0.3146341463414634,296.0,456.0,5,165,5,160,1.6477673137292588,3,525,0.009523809523809523,0.6644034917555771,6892,2673,4929,2062,32,32,32,34,processing,no trend
61,C#,PowerShell,src/System.Management.Automation/engine/remoting/commands/NewPSSessionConfigurationFile.cs,NewPSRoleCapabilityFileCommand::ProcessRecord(),34,2020-08-11 14:01:47-07:00,245,0.16129032258064516,1543.0,1848.0,9,385,80,305,1.289795918367347,7,1593,0.005649717514124294,0.2053838484546361,22095,1282,8300,2006,34,34,34,34,processing,no trend
62,C#,PowerShell,src/System.Management.Automation/engine/GetCommandCommand.cs,"GetCommandCommand::FindCommandForName(SearchResolutionOptionsoptions,stringcommandName,boolisPattern,boolemitErrors,refintcurrentCount,outboolisDuplicate)",33,2020-08-11 14:01:47-07:00,120,0.09876543209876544,941.0,1089.0,8,159,11,148,1.7891304347826087,4,1572,0.005089058524173028,0.2053838484546361,22095,1282,8300,2006,32,32,32,33,accessing,increasing
63,C#,efcore,src/EFCore.Relational/Query/RelationalSqlTranslatingExpressionVisitor.cs,"RelationalSqlTranslatingExpressionVisitor::TryRewriteEntityEquality(ExpressionTypenodeType,Expressionleft,Expressionright,outExpressionresult)",33,2020-08-11 14:40:49-07:00,101,0.08251633986928104,1226.0,1347.0,4,138,17,121,2.516482370632982,1,134,0.02985074626865672,0.943979933110368,9456,3572,10538,2392,22,34,34,33,coordination,increasing
64,C#,PowerShell,src/System.Management.Automation/engine/TypeTable.cs,TypesPs1xmlReader::Read_Type(),33,2020-08-11 14:01:47-07:00,155,0.043405208625035004,353.0,521.0,6,175,7,168,1.5577712609970673,6,1583,0.0037902716361339225,0.2053838484546361,22095,1282,8300,2006,33,33,33,33,IO,no trend
