,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC
742,JavaScript,three.js,examples/jsm/postprocessing/SSAOPass.js,"renderOverride(renderer,overrideMaterial,renderTarget,clearColor,clearAlpha)",6,2020-08-11 22:49:33+01:00,20,0.07142857142857142,308.0,338.0,4,66,6,60,2,192,0.020833333333333332,0.8321033210332104,63402,1380,34991,3794,6,6,6,6
743,JavaScript,node,lib/internal/http2/compat.js,_read(nread),2,2020-08-11 18:36:51-07:00,10,0.01445086705202312,374.0,383.0,9,27,18,9,5,474,0.0189873417721519,0.7368295589988081,72977,16379,31653,4195,2,2,2,2
744,JavaScript,node,tools/node_modules/eslint/node_modules/rimraf/rimraf.js,"rimraf(p,options,cb)",4,2020-08-11 18:36:51-07:00,20,0.0706713780918728,44.0,115.0,11,221,38,183,7,1253,0.008778930566640064,0.4762812872467223,72977,16379,31653,4195,3,3,4,4
745,JavaScript,node,benchmark/timers/immediate.js,breadth(N),2,2020-08-11 18:36:51-07:00,8,0.07920792079207921,61.0,72.0,4,14,3,11,4,1370,0.00291970802919708,0.6412395709177592,72977,16379,31653,4195,2,2,2,2
746,JavaScript,three.js,examples/js/postprocessing/SAOPass.js,"renderPass(renderer,passMaterial,renderTarget,clearColor,clearAlpha)",4,2020-08-11 22:49:33+01:00,17,0.06367041198501873,312.0,339.0,5,35,8,27,2,611,0.008183306055646482,0.7047970479704797,63402,1380,34991,3794,4,4,4,4
747,JavaScript,node,tools/node_modules/eslint/node_modules/js-yaml/lib/js-yaml/loader.js,"captureSegment(state,start,end,checkJson)",8,2020-08-11 18:36:51-07:00,18,0.01468189233278956,246.0,266.0,5,45,5,40,4,979,0.005107252298263534,0.5418355184743743,72977,16379,31653,4195,7,8,8,8
748,JavaScript,next.js,examples/with-iron-session/lib/session.js,withSession(handler),2,2020-08-11 17:49:34+00:00,9,0.9,4.0,14.0,7,30,7,23,4,59,0.11864406779661017,0.9103202846975089,53234,2997,6947,1405,2,2,2,2
749,JavaScript,angular.js,test/ng/qSpec.js,"error(name,returnVal,throwReturnVal)",2,2020-07-30 18:44:04+03:00,5,0.0028868360277136264,119.0,130.0,5,39,8,31,4,880,0.005681818181818182,0.8286688680777351,59508,1119,9020,18473,1,1,2,2
750,JavaScript,three.js,src/animation/PropertyBinding.js,"setValue(array,offset)",2,2020-08-11 22:49:33+01:00,6,0.017751479289940832,60.0,70.0,6,24,52,-28,1,1679,0.00357355568790947,0.5379546652609383,63402,1380,34991,3794,2,2,2,2
751,JavaScript,prettier,src/document/doc-builders.js,fill(parts),2,2020-08-12 07:06:46+08:00,6,0.043795620437956206,130.0,136.0,4,19,1,18,4,979,0.0040858018386108275,0.11991117690599556,37678,3198,4672,1351,1,2,2,2
752,JavaScript,incubator-echarts,src/coord/Axis.js,"dataToCoord(data,clamp)",3,2020-08-05 17:02:10+08:00,10,0.05813953488372092,128.0,139.0,4,26,4,22,2,823,0.004860267314702308,0.3775624301155423,42860,643,5984,2683,3,3,3,3
753,JavaScript,three.js,examples/js/utils/ShadowMapViewer.js,this.render(renderer),2,2020-08-11 22:49:33+01:00,10,0.1020408163265306,143.0,162.0,4,22,3,19,2,468,0.008547008547008548,0.46520822351080654,63402,1380,34991,3794,2,2,2,2
754,JavaScript,node,tools/node_modules/eslint/lib/rules/no-underscore-dangle.js,checkForTrailingUnderscoreInMemberExpression(node),11,2020-08-11 18:36:51-07:00,19,0.1386861313868613,177.0,196.0,10,54,9,45,5,1769,0.005652911249293386,0.5418355184743743,72977,16379,31653,4195,4,7,9,11
755,JavaScript,three.js,examples/js/geometries/LightningStrike.js,"this.onDecideSubrayCreation(segment,lightningStrike)",9,2020-08-11 22:49:33+01:00,41,0.07360861759425494,816.0,883.0,5,75,8,67,1,367,0.013623978201634877,0.8444913020558777,63402,1380,34991,3794,9,9,9,9
756,JavaScript,node,tools/node_modules/eslint/node_modules/lodash/_baseDelay.js,"baseDelay(func,wait,args)",2,2020-08-11 18:36:51-07:00,6,0.75,14.0,19.0,5,25,0,25,5,979,0.005107252298263534,0.5418355184743743,72977,16379,31653,4195,2,2,2,2
757,JavaScript,node,tools/node_modules/eslint/lib/rules/newline-before-return.js,ReturnStatement(node),3,2020-08-11 18:36:51-07:00,9,0.08108108108108109,198.0,214.0,7,45,7,38,4,1016,0.006889763779527559,0.6221692491060786,72977,16379,31653,4195,5,3,3,3
758,JavaScript,angular.js,src/ngMessages/messages.js,"findPreviousMessage(parent,comment)",8,2020-07-30 18:44:04+03:00,19,0.07011070110701106,498.0,520.0,4,46,2,44,3,482,0.008298755186721992,0.892004547176961,59508,1119,9020,18473,8,8,8,8
759,JavaScript,node,tools/node_modules/eslint/lib/rules/space-before-blocks.js,checkPrecedingSpace(node),11,2020-08-11 18:36:51-07:00,32,0.2644628099173554,99.0,137.0,12,155,53,102,6,1769,0.006783493499152063,0.5418355184743743,72977,16379,31653,4195,6,10,10,11
760,JavaScript,three.js,examples/jsm/misc/ConvexObjectBreaker.js,"prepareBreakableObject(object,mass,velocity,angularVelocity,breakable)",2,2020-08-11 22:49:33+01:00,10,0.03597122302158273,70.0,88.0,6,64,10,54,3,1029,0.0058309037900874635,0.6149182920400632,63402,1380,34991,3794,2,2,2,2
